post_id,title,url,meta
48023861,Three Inverse Laws of AI,https://susam.net/inverse-laws-of-robotics.html,"{""score"": ""81 points""}"
48024364,UK: Two millionth electric car registered as market rebounds strongly,https://www.smmt.co.uk/two-millionth-electric-car-registered-as-market-rebounds-strongly-from-tax-changes/,"{""score"": ""21 points""}"
48024129,EEVblog: The 555 Timer is 55 years old,https://www.youtube.com/watch?v=6JhK8iCQuqI,"{""score"": ""18 points""}"
48024540,Accelerating Gemma 4: faster inference with multi-token prediction drafters,https://blog.google/innovation-and-ai/technology/developers-tools/multi-token-prediction-gemma-4/,"{""score"": ""8 points""}"
48023533,Agents for financial services and insurance,https://www.anthropic.com/news/finance-agents,"{""score"": ""74 points""}"
48019163,Async Rust never left the MVP state,https://tweedegolf.nl/en/blog/237/async-rust-never-left-the-mvp-state,"{""score"": ""345 points""}"
47962032,Should I Run Plain Docker Compose in Production in 2026?,https://distr.sh/blog/running-docker-in-production/,"{""score"": ""229 points""}"
48021561,iOS 27 is adding a 'Create a Pass' button to Apple Wallet,https://walletwallet.alen.ro/blog/ios-27-wallet-create-pass/,"{""score"": ""250 points""}"
47986331,Docker 29 has changed its default image store for new installs,https://docs.docker.com/engine/storage/containerd,"{""score"": ""68 points""}"
48023496,Show HN: Airbyte Agents – context for agents across multiple data sources,item?id=48023496,"{""score"": ""32 points""}"
48022596,Simple Meta-Harness on Islo.dev,https://zozo123.github.io/meta-harness-on-islo-page/,"{""score"": ""28 points""}"
48021968,AI Product Graveyard,https://tooldirectory.ai/ai-graveyard,"{""score"": ""175 points""}"
48023473,It's official: Utah is the U.S. state closest to banning VPNs,https://tech.yahoo.com/vpn/article/its-official-utah-is-the-us-state-closest-to-banning-vpns-153556814.html,"{""score"": ""108 points""}"
48020063,When everyone has AI and the company still learns nothing,https://www.robert-glaser.de/when-everyone-has-ai-and-the-company-still-learns-nothing/,"{""score"": ""181 points""}"
48018066,Empty Screenings – Finds AMC movie screenings with few or no tickets sold,https://walzr.com/empty-screenings,"{""score"": ""263 points""}"
48022742,"AI didn't delete your database, you did",https://idiallo.com/blog/ai-didnt-delete-your-database-you-did,"{""score"": ""316 points""}"
47993181,The first photo published in a newspaper,https://phsne.org/the-first-photograph-published-in-a-newspaper-1848/,"{""score"": ""27 points""}"
48022900,Incident with Actions,https://www.githubstatus.com/incidents/1j40g94rn22j,"{""score"": ""95 points""}"
47993240,Comparing the Z80 and 6502 to Their Relatives,https://bumbershootsoft.wordpress.com/2026/05/02/comparing-the-z80-and-6502-to-their-relatives/,"{""score"": ""43 points""}"
48019219,Google Chrome silently installs a 4 GB AI model on your device without consent,https://www.thatprivacyguy.com/blog/chrome-silent-nano-install/,"{""score"": ""755 points""}"
47987463,Did I photograph the Aurora or was it something else? (2016),https://wp.lancs.ac.uk/aurorawatchuk/2016/03/16/did-i-photgraph-the-aurora-or-was-it-something-else/,"{""score"": ""5 points""}"
48019025,Lessons for Agentic Coding: What should we do when code is cheap?,https://www.dbreunig.com/2026/05/04/10-lessons-for-agentic-coding.html,"{""score"": ""170 points""}"
48023691,New Landing Page for Awesome PaaS,https://debarshibasak.github.io/awesome-paas/,"{""score"": ""5 points""}"
48021420,"Show HN: I built a new word game, Wordtrak",https://wordtrak.com/blog/2026-05-05-I-built-a-new-word-game,"{""score"": ""44 points""}"
48023587,Show HN: A Mutating Webhook to automatically strip PII from K8s logs,https://github.com/aragossa/pii-shield,"{""score"": ""10 points""}"
48017907,Hand Drawn QR Codes (2025),https://sethmlarson.dev/hand-drawn-qr-codes,"{""score"": ""182 points""}"
47986798,sRGB profile comparison,https://ninedegreesbelow.com/photography/srgb-profile-comparison.html,"{""score"": ""47 points""}"
48013919,How OpenAI delivers low-latency voice AI at scale,https://openai.com/index/delivering-low-latency-voice-ai-at-scale/,"{""score"": ""465 points""}"
47990491,Farewell to a Giant of Botany,https://nautil.us/farewell-to-a-giant-of-botany-1280409,"{""score"": ""80 points""}"
48024160,"Instagram Encrypted Messaging Ends on Friday, May 8",https://www.macrumors.com/2026/05/05/psa-instagram-encrypted-messaging-ends-may-8/,"{""score"": ""11 points""}"
